ID	Question (English)	Question (Hindi)	Domain	Answer (English)	Answer String(English)	Answer (Hindi)	Answer String(Hindi)	Availability in	Answer Type
1941	Which is the oldest Polo ground in the world?	दुनिया में सबसे पुराना पोलो मैदान कौन सा है?	Tourism	Imphal Polo Ground	The modern game of polo is derived from Manipur’s Sagol Kangjei and it is not surprising that the Imphal Polo Ground is the oldest polo ground in the world.			English	Factoid
1526	Why is Rohru festival celebrated?	रोहरु त्योहार क्यों मनाया जाता है?	Tourism	To venerate Shikhru Devta	The festival is held to venerate Shikhru Devta.			English	Descriptive
1944	What is the name of the market in Imphal run by only women?	इम्फाल में केवल महिलाओं द्वारा संचालित बाजार का नाम क्या है?	Tourism			इमा किथेल'	इम्फाल की यात्रा के दौरान, पर्यटकों को ख्वैरामबंद बाजार जरूर जाना चाहिए, खासतौर से 'इमा किथेल' अद्वितीय बाजार, जो पूरी तरह से महिलाओं द्वारा संचालित है।	Hindi	Factoid
1945	What is the literal meaning of 'Ima Keithel'?	'इमा किथेल' का शाब्दिक अर्थ क्या है?	Tourism			माँ का बाजार	इमा किथेल' का वस्तुतः मतलब है माँ का बाजार।	Hindi	Factoid
344	What is the best time to visit Ladakh?	लद्दाख की यात्रा का सबसे अच्छा समय क्या है?	Tourism			मई से सितम्बर	पर्यटक, मई से सितम्बर के बीच किसी भी समय लद्दाख यात्रा की योजना बना सकते हैं।	Hindi	Factoid
819	How far is Shirdi from Mumbai?	मुंबई से शिरडी कितनी दूर है?	Tourism	300 km	Shirdi is a small town, which is located about 300 km from Mumbai.			English	Factoid
340	Which are the languages spoken in Ladakh?	लद्दाख में बोली जाने वाली भाषाएं कौन सी हैं?	Tourism			लद्दाखी, पुरिग, तिब्बतन, हिन्दी एवं अंग्रेजी	राज्य में बोले जाने वाली आम भाषाओं में लद्दाखी, पुरिग, तिब्बतन, हिन्दी एवं अंग्रेजी शामिल हैं।	Hindi	Factoid
341	Who was the ruler of Ladakh during 17th century?	17 वीं शताब्दी के दौरान लद्दाख का शासक कौन था?	Tourism			‘सेनगी नामग्याल’	17 वीं शताब्दी में राजा ‘सेनगी नामग्याल’ के शासनकाल के दौरान, हिमालयन साम्राज्य अपने चरम पर पहुंचा।	Hindi	Factoid
1520	Which city is known for its shrine of Lord Krishna?	किस शहर को भगवान कृष्ण के मंदिर के लिए जाना जाता है?	Tourism	Dwarka	Known for its shrine of Lord Krishna, Dwarka is believed to have been the first capital of Gujarat.			English	Factoid
813	Yamunotri is believed to be the residence of which sage?	यमुनात्री को किस ऋषि का निवास माना जाता है?	Tourism	Asit	Yamunotri is also believed to be the residence of sage Asit, who bathed both in the Ganga and the Yamuna every single day of his life, till one day when he was too old to travel to Gangotri and a stream of the Ganga appeared opposite Yamunotri for him.			English	Factoid
348	Which city is known as the lake district of India?	कौन सा शहर भारत के झील जिले के नाम से जाना जाता है?	Tourism	Nainital	Known as the lake district of India, Nainital is located in the Kumaon division of Uttarakhand and gets its name from the Naini lake.			English	Factoid
349	Where is Nainital located?	नैनीताल कहाँ स्थित है?	Tourism	Kumaon division	Known as the lake district of India, Nainital is located in the Kumaon division of Uttarakhand and gets its name from the Naini lake.	कुमाऊँ की पहाड़ियों	यह कुमाऊँ की पहाड़ियों के मध्य में स्थित है और इसे खूबसूरत झीलों का आशीर्वाद प्राप्त है।	Both	Factoid
816	Which are the nearest railway station to Yamunotri?	यमुनोत्री के निकटतम रेलवे स्टेशन कौन सा है?	Tourism			ऋषिकेश और देहरादून	गंतव्य के लिए निकटतम रेलवे स्टेशन ऋषिकेश और देहरादून रेलवे स्टेशन हैं।	Hindi	Factoid
1253	From which word the English language derived the word 'juggernaut' ?	इंग्लिश भाषा से किस शब्द से 'जगर्नॉट' शब्द मिला है?	Tourism	Rath Yatra	One of the four dharms (most sacred pilgrimages) of Hindus, the Jagannath Puri temple was constructed in the 11th century and is the starting point for the famous Rath Yatra from which the English language derived the word ‘juggernaut’.			English	Factoid
1545	What are the names of Ooty?	ऊटी के नाम क्या हैं?	Tourism	Ootacamund, Udagamandalam or Udhagai	Ooty, also known as Ootacamund, Udagamandalam or Udhagai is the capital of Nilgiris district in the state of Tamil Nadu.	उटकमंड	इस शहर का आधिकारिक नाम उटकमंड है तथा पर्यटकों की सुविधा के लिए इसे ऊटी का संक्षिप्त नाम दिया गया है।	Both	Factoid
1799	How far is Pushkar from Ajmer?	अजमेर से पुष्कर कितनी दूर है?	Tourism			14 किमी.	यह अजमेर शहर से 14 किमी. दूर है।	Hindi	Factoid
1798	What is the literal meaning of Pushkar?	पुष्कर का शाब्दिक अर्थ क्या है?	Tourism	the king of pilgrim sites	Located in Rajasthan’s Ajmer district in midst of Aravali range, Pushkar is often called tirtha-raj, which literally means the king of pilgrim sites.			English	Factoid
1522	Who is the maternal uncle of Lord Krishna?	भगवान कृष्ण के मामा कौन हैं?	Tourism			कंस	पौराणिक संबंधभगवान कृष्ण ने मथुरा के राजा और अपने मामा कंस का वध कर दिया जो कंस एक दमनकारी शासक था।	Hindi	Factoid
719	According to 2011 census what is the population of Delhi?	2011 की जनगणना के अनुसार दिल्ली की आबादी क्या है?	Tourism	47000000	Delhi NCR is India’s largest agglomeration (or town area) and one of the world’s largest with a population of over 47,000,000 according to the 2011 Census.			English	Factoid
718	What is capital of India?	भारत की राजधानी क्या है?	Tourism	Delhi	Delhi National Capital Region or NCR includes New Delhi and the urban areas surrounding it in neighboring states of Haryana, Uttar Pradesh and Rajasthan.	दिल्ली	भारत की यात्रा अपने आप में एक अनोखा अनुभव है, और इसकी राजधानी दिल्ली की सैर एक अमित संस्मरण साबित होगी।	Both	Factoid
717	What is the full form of NCR?	एनसीआर का पूरा रूप क्या है?	Tourism	National Capital Region	Delhi National Capital Region or NCR includes New Delhi and the urban areas surrounding it in neighboring states of Haryana, Uttar Pradesh and Rajasthan.			English	Descriptive
1791	How far is Manchar from Bhimashankar?	भीमाशंकर से मंचर कितना दूर है?	Tourism	65 km	Ghodegaon and Manchar located about 45 km and 65 km respectively offer better accommodation facilities.			English	Factoid
1790	How far is Ghodegaon from Bhimashankar ?	भीमाशंकर से घोडेगांव तक कितनी दूर है?	Tourism	45 km	Ghodegaon and Manchar located about 45 km and 65 km respectively offer better accommodation facilities.			English	Factoid
1684	which is the nearest airport to Rishikesh?	ऋषिकेश का सबसे निकटतम हवाई अड्डा कौन है?	Tourism			देहरादून के जॉली ग्राँट हवाई अड्डे	ऋषिकेश तक वायुमार्ग द्वारा पहुँचने के लिये यात्री 18 किमी की दूरी पर स्थित देहरादून के जॉली ग्राँट हवाईअड्डे के लिये उड़ाने ले सकते हैं।	Hindi	Factoid
1796	Where is Pushkar located?	पुष्कर कहां स्थित है?	Tourism	Rajasthan’s Ajmer district	Located in Rajasthan’s Ajmer district in midst of Aravali range, Pushkar is often called tirtha-raj, which literally means the king of pilgrim sites.			English	Factoid
1795	Which types of animals are mainly found in Bhimshankar?	भीमशंकर में किस प्रकार के जानवर मुख्यतः पाए जाते हैं?	Tourism	leopards, barking deer, sambar and hyena, shekru or the Giant Indian squirrel.	One can spot leopards, barking deer, sambar and hyena. However, shekru or the Giant Indian squirrel is the most famous resident.			English	Factoid
1794	Who built the Bhimshankar temple?	भीमशंकर मंदिर किसने बनाया?	Tourism	Nana Fadnis	The temple was built by Nana Fadnis, an eminent statesman of the Maratha Empire.			English	Factoid
1490	How far is Daman from Mumbai?	मुंबई से दमन कितनी दूर है?	Tourism	193 km	Situated about 193 km north of Mumbai, Daman has become synonymous with blue sea, rustic beaches, picturesque villages and relics from its Portuguese past.			English	Factoid
915	Which is the nearest airport to Mysore?	मैसूर के निकटतम हवाई अड्डा कौन सा है?	Tourism			मंडाकल्ली एयरपोर्ट	मैसूर का मंडाकल्ली एयरपोर्ट एक डोमेस्टिक एयरपोर्ट है, जहां से कई भारतीय शहरों के लिए नियमित उड़ानें मिलती हैं।	Hindi	Factoid
1492	Daman lies between which two states?	दमन किस दो राज्यों के बीच स्थित है?	Tourism	Gujarat and Maharashtra	It lies sandwiched between Gujarat and Maharashtra.			English	Factoid
1493	For how many years Daman was under Portuguese territory?	कितने साल के लिए दमन पुर्तगाली क्षेत्र में था?	Tourism	300 years	Daman was a Portuguese territory for over 300 years and was liberated in 1961 along with Dadra and Nagar Haveli, Goa and Diu.			English	Factoid
1494	In which year Daman liberated from Portuguese territory?	किस साल में दमण ने पुर्तगाली क्षेत्र से मुक्त हुआ?	Tourism	1961	Daman was a Portuguese territory for over 300 years and was liberated in 1961 along with Dadra and Nagar Haveli, Goa and Diu.			English	Factoid
1495	How far is Daman from Diu?	दीव से दमन कितनी दूर है?	Tourism	600 km	The popular misconception about Diu is that it is Daman’s neighbor whereas it is over 600 km away!	400 किमी	दमन व दीव एक दूसरे से 400 किमी की दूरी पर है।	Both	Factoid
1496	Where is Mathura located?	मथुरा कहां स्थित है?	Tourism	Golden Triangle of Delhi-Jaipur-Agra	Located within the Golden Triangle of Delhi-Jaipur-Agra, Mathura in Uttar Pradesh, is the birthplace of Lord Krishna and is known for its culture and heritage.			English	Factoid
1497	Which Hindu God was born in Mathura?	मथुरा में किस हिंदू भगवान का जन्म हुआ?	Tourism	Lord Krishna	Located within the Golden Triangle of Delhi-Jaipur-Agra, Mathura in Uttar Pradesh, is the birthplace of Lord Krishna and is known for its culture and heritage.			English	Factoid
1499	Which Hindu God has spent his childhood and adolescence in Braj?	किस हिंदू भगवान ने अपने बचपन और किशोरावस्था को ब्रज में बिताया है?	Tourism	Lord Krishna	Closely associated with the Hindu epic Mahabharata, Krishna is said to have spent his childhood and adolescence in Braj.			English	Factoid
1524	What is the best time to visit Rohru?	रोहरु यात्रा का सबसे अच्छा समय क्या है?	Tourism			मार्च और नवंबर के बीच	इस स्थान का दौरा करने के लिए सबसे अच्छा समय मार्च और नवंबर के बीच है।	Hindi	Factoid
1542	Why is the culture of Diu unique?	दीव की संस्कृति अद्वितीय क्यों है?	Tourism	it is a blend of Kathiawadi (Saurashtra) and Portuguese culture	The culture of Diu is unique as it is a blend of Kathiawadi (Saurashtra) and Portuguese culture.			English	Descriptive
1700	When did Kalbhairav Temple built?	काल्पभव मंदिर का निर्माण कब हुआ था?	Tourism	18th century	Built in the 18th century, it is renowned across Maharashtra and offers panoramic views of the Arabian Sea.			English	Factoid
1702	What is the best time to visit Igatpuri?	इगतपुरी जाने का सबसे अच्छा समय क्या है?	Tourism	June to September and November to March	Although you can visit Igatpuri throughout the year but the best time to visit this place is from June to September and November to March.			English	Factoid
1704	Who is the founder of Vipassana International Academy?	विपश्यना इंटरनेशनल अकादमी के संस्थापक कौन हैं?	Tourism	S N Goenka	Established in 1976 by S N Goenka, the academy teaches the ancient technique of meditation technique, Vipassana.			English	Factoid
1705	What is the other name of Igatpuri?	इगतपुरी का दूसरा नाम क्या है?	Tourism	Dhammagiri	This place is also called Dhammagiri, which means hill of Dhamma.			English	Factoid
1707	What is the meaning of Dhammagiri?	धम्मगिरी का क्या अर्थ है?	Tourism	Hill of Dhamma	This place is also called Dhammagiri, which means hill of Dhamma.			English	Factoid
1061	Where is Tirumala Venkateswara temple situated?	तिरुमला वेंकटेश्वर मंदिर कहां स्थित है?	Tourism	Tirumala hills	It is synonymous with the Tirumala Venkateswara temple dedicated to Lord Vishnu, which is situated in the nearby Tirumala hills.	तिरुमलाई पहाड़ियों	शहर के केंद्र के पास स्थित तिरुमलाई पहाड़ियों को विश्व की सबसे पुराने चट्टानी पहाड़ियों में स्थान प्राप्त है।	Both	Factoid
1060	Who is Tirumala Venkateswara temple dedicated to?	तिरुमला वेंकटेश्वर मंदिर कौन समर्पित है?	Tourism	Lord Vishnu	It is synonymous with the Tirumala Venkateswara temple dedicated to Lord Vishnu, which is situated in the nearby Tirumala hills.			English	Factoid
1063	What is the name of the seventh peak of Tirumala hills?	तिरुमला पहाड़ियों की सातवीं शिखर का नाम क्या है?	Tourism	Venkatachala	Tirumala hills have seven peaks and the temple is situated on the seventh peak, Venkatachala.			English	Factoid
1062	How many peaks are there in Tirumala hills?	तिरुमला पहाड़ियों में कितनी चोटियां हैं?	Tourism	Seven	Tirumala hills have seven peaks and the temple is situated on the seventh peak, Venkatachala.			English	Factoid
1065	What is name of the annual festival celebrated in Tirupati?	तिरुपति में मनाए जाने वाले वार्षिक त्यौहार का नाम क्या है?	Tourism	Brahmotsavam	The temple receives anywhere between 50,000 and 100,000 pilgrims daily (30 to 40 million people annually on average), while on special occasions and festivals, like the annual Brahmotsavam, the number of pilgrims shoots up to as high as 500,000.			English	Factoid
1064	What is the etymology of Tirupati?	तिरुपति की व्युत्पत्ति क्या है?	Tourism			तमिल में “थिरु” का अर्थ है सम्मानजनक और “पति” का अर्थ है पति। अत: इस शब्द का शाब्दिक अर्थ है “सम्मानीय पति”।	यद्यपि तिरुपति शब्द का उद्भव कहाँ से हुआ इस विषय में कोई स्पष्टता नहीं है, फिर भी ऐसा माना जाता है कि यह दो शब्दों “थिरु” और “पति” से मिलकर बना है। जहाँ तमिल में “थिरु” का अर्थ है सम्मानजनक और “पति” का अर्थ है पति। अत: इस शब्द का शाब्दिक अर्थ है “सम्मानीय पति”।	Hindi	Descriptive
1529	What is the other name of Apple Valley?	एप्पल घाटी का दूसरा नाम क्या है?	Tourism	Golden Belt	The Rohru-Hatkoti-Jubbal-Kothkhai belt is popularly known as ‘Apple Valley’ or ‘Golden Belt’ in Himachal.			English	Factoid
913	What type of architecture is used in Mysore Palace?	मैसूर पैलेस में किस प्रकार की वास्तुकला का उपयोग किया जाता है?	Tourism	Indo-Saracenic architecture	The Mysore Palace has been listed as a world heritage site and is an excellent combination of Indo-Saracenic architecture.			English	Factoid
298	What is majorly spoken language of Mumbai?	मुम्बई की मुख्य भाषा क्या है?	Tourism	Hindi	The majorsly spoken language is definitely Hindi , but this city has welcomed people from all faiths and religion warmly.			English	Factoid
299	What is the very own language of Mumbai?	मुंबई की अपनी भाषा क्या है?	Tourism	Bambaiiya Hindi	This city also has its very own language that is the Bambaiiya Hindi.			English	Factoid
296	What is Mumbai called as?	मुंबई को क्या कहा जाता है?	Tourism	city of dreams	It is the largest city of India and fondly called as the city of dreams.	सपनों का शहर	मुंबई सपनों का शहर है जो अपने फैशन, आकर्षक जीवनशैली, बालीवुड और कुछ बहुत प्रसिद्द सिने कलाकारों के घर के लिये जाना जाता है।	Both	Factoid
297	What is the largest city of India?	भारत का सबसे बड़ा शहर क्या है?	Tourism	Mumbai	It is the largest city of India and fondly called as the city of dreams.			English	Factoid
294	Which is the biggest city of Maharshtra?	महाराष्ट्र का सबसे बड़ा शहर कौन सा है?	Tourism	Mumbai	Mumbai, previously known as Bombay is one of the most populous and biggest cities of Maharashtra.			English	Factoid
295	What is Mumbai previously known as?	मुंबई को पहले किस रूप में जाना जाता था?	Tourism	Bombay	Mumbai, previously known as Bombay is one of the most populous and biggest cities of Maharashtra.			English	Factoid
1907	Where is Barmer located?	बाड़मेर कहां स्थित है?	Tourism	Rajasthan	Barmer, in the western Rajasthan, is a desert town located 153 km from Jaisalmer.	राजस्थान	राजस्थान के जिले में स्थित एक प्राचीन शहर है।	Both	Factoid
293	Which is the most populous city of Maharashtra?	महाराष्ट्र का सबसे अधिक आबादी वाला शहर कौन सा है?	Tourism	Mumbai	Mumbai, previously known as Bombay is one of the most populous and biggest cities of Maharashtra.			English	Factoid
290	What is Sonpur fair famous for?	सोनपुर मेला क्या प्रसिद्ध है?	Tourism			पशु मेला	सोनपुर मेला मुख्य रूप से एक पशु मेला है जो एशिया के विभिन्न भागों से यात्रियों को आकर्षित करता है।	Hindi	Factoid
1660	How far is Kalka railway station from Kasauli?	कसौली से कालका रेलवे स्टेशन कितनी दूर है?	Tourism			40 किलोमीटर	कसौली का निकटतम रेलवे स्टेशन कालका रेलवे स्टेशन है जो कसौली से लगभग 40 किलोमीटर की दूरी पर स्थित है।	Hindi	Factoid
1087	Where is Gulmarg located?	गुलमर्ग कहां स्थित है?	Tourism			2730 मीटर की ऊंचाई पर	जम्मू - कश्मीर के बारामूला जिले में लग - भग 2730 मीटर की ऊंचाई पर स्थित गुलमर्ग, की खोज 1927  में अंग्रेजों ने की थी।	Hindi	Factoid
1086	Where is Gulmarg situated?	गुलमर्ग कहां स्थित है?	Tourism	Srinagar	The beauty of Gulmarg and its proximity to Srinagar makes it one of the most popular hill stations in India.	जम्मू - कश्मीर के बारामूला जिले	जम्मू - कश्मीर के बारामूला जिले में लग - भग 2730 मीटर की ऊंचाई पर स्थित गुलमर्ग, की खोज 1927  में अंग्रेजों ने की थी।	Both	Factoid
1085	Which festival is celebrated after holi in Vrindavan?	वृंदावन में होली के बाद कौन सा त्योहार मनाया जाता है?	Tourism	Brahmotsava Festival	The Brahmotsava Festival that is celebrated for 10 days after Holi in the months of February-March is one that brings in the most number of visitors.			English	Factoid
1084	What is the best time to visit Vrindavan?	वृंदावन की यात्रा का सबसे अच्छा समय क्या है?	Tourism			नवंबर से मार्च	नवंबर से मार्च के समय वृंदावन घूमने के लिए सबसे अच्छा रहता है।	Hindi	Factoid
198	Who introduced Buddhism in Srinagar?	श्रीनगर में बौद्ध धर्म किसने पेश किया?	Tourism	Emperor Asoka	Buddhism was introduced in Srinagar by Emperor Asoka after it came under the Mauryan rule.			English	Factoid
1081	Which temple in Vrindavan is similar to the Taj Mahal?	वृंदावन में कौन से मंदिर ताजमहल के समान है?	Tourism	Jaigurudeo Temple	Built with white marble the Jaigurudeo Temple resembles the Taj Mahal and doesn’t accept donations from non-vegetarians.			English	Factoid
1080	Which is the famous temple in Vrindavan?	वृंदावन में प्रसिद्ध मंदिर कौन सा है?	Tourism	Bankey Bihari temple	With several temples all over the town, the Bankey Bihari temple is the best-known in the city.			English	Factoid
197	Waht is the centre of activities in Srinagar?	क्या श्रीनगर में गतिविधियों का केंद्र है?	Tourism	Dal Lake	Indeed, the Dal Lake, is the center of activities in Srinagar.			English	Factoid
196	What is the biggest tourist attraction of Kashmir?	कश्मीर का सबसे बड़ा पर्यटक आकर्षण क्या है?	Tourism	houseboat	Today, these houseboats have become the biggest tourist attraction of Kashmir.			English	Factoid
191	What is Shrinagar also known as?	श्रीनगर और किस नाम से भी जाना जाता है?	Tourism			पूरब का वेनिस	श्रीनगर, कश्‍मीर राज्‍य की ग्रीष्‍मकालीन राजधानी है जिसे समस्‍त भारतवासी धरती का स्‍वर्ग और पूरब का वेनिस कहते हैं।	Hindi	Factoid
190	What is the summer capital of Kashmir?	कश्मीर की ग्रीष्मकालीन राजधानी क्या है?	Tourism			श्रीनगर	श्रीनगर, कश्‍मीर राज्‍य की ग्रीष्‍मकालीन राजधानी है जिसे समस्‍त भारतवासी धरती का स्‍वर्ग और पूरब का वेनिस कहते हैं।	Hindi	Factoid
193	What is the most important historical place in Srinagar/	श्रीनगर में सबसे महत्वपूर्ण ऐतिहासिक स्थान क्या है?	Tourism			बुर्जहोम	बुर्जहोम यहां का एक महत्वपूर्ण ऐतिहासिक स्थल है जिस पर निओलिथिक ने 3000 से 1500 ईसा पूर्व के बीच में कब्‍जा कर लिया था।	Hindi	Factoid
192	What is the name  of the museum in Srinagar ?	श्रीनगर में संग्रहालय का नाम क्या है?	Tourism			श्री प्रताप सिंह  (एसपीएस) संग्रहालय	यहां हुई खुदाई के दौरान प्राप्‍त हुई सभी कलाकृतियों को वर्तमान में श्री प्रताप सिंह  (एसपीएस) संग्रहालय, श्रीनगर में रखा गया है।	Hindi	Factoid
270	Which Magadha King built a small fort in Pataligram on the banks of the the Ganga river in the 6th century BC?	कौन सा मगध राजा ने छठी शताब्दी ईसा पूर्व में गंगा नदी के तट पर पाताललाग्राम में एक छोटा किला बनाया था?	Tourism	Ajatshatru	With a history of over two millennia, Patna’s origins can be traced to the Magadha King, Ajatshatru, who built a small fort in Pataligram on the banks of the the Ganga river in the 6th century BC.			English	Factoid
272	Which are the places famous for Buddhist pilgrimage in the state?	राज्य में बौद्ध तीर्थ यात्रा के लिए प्रसिद्ध जगह कौन सी है?	Tourism			वैशाली, केसरिया और बोधगया	वैशाली, केसरिया और बोधगया जाकर पर्यटक बौद्ध धर्म का सुखद अहसास कर सकते हैं।	Hindi	Factoid
273	What is the birthplace of Lord Mahavira?	भगवान महावीर का जन्मस्थान क्या है?	Tourism			वैशाली	वैशाली भगवान महावीर की जन्मभूमि और उस जगह के रूप में जाना जाता है जहाँ बुद्ध ने अपना अंतिम उपदेश दिया था।	Hindi	Factoid
274	Where did Lord buddha deliver his last sermon?	भगवान बुद्ध अपने आखिरी धर्मोपदेश कहाँ पहुंचे थे?	Tourism			वैशाली	वैशाली भगवान महावीर की जन्मभूमि और उस जगह के रूप में जाना जाता है जहाँ बुद्ध ने अपना अंतिम उपदेश दिया था।	Hindi	Factoid
275	Where did Lord Buddha donate his bowl?	भगवान बुद्ध ने अपना कटोरा कहाँ दे दिया?	Tourism			केसरिया	केसरिया एक लंबे स्तूप के लिए जाना जाता है जहाँ बुद्ध ने मृत्यु से पहले अपना भीख का कटोरा दान कर दिया था।	Hindi	Factoid
276	Where is Lord Buddha said to have obtained his enlightenment?	जहां भगवान बुद्ध ने अपने ज्ञान प्राप्त किया है?	Tourism			बोधी वृक्ष	बौद्ध तीर्थयात्री और दुनियाभर से पर्यटक बोधगया में एकत्रित होते है जहाँ बोधी वृक्ष के नीचे गौतम बुद्ध ने ज्ञान प्राप्त किया था।	Hindi	Factoid
277	What is the style of architecture of Patna Museum?	पटना संग्रहालय की वास्तुकला की शैली क्या है?	Tourism	Indo-Saracenic	After the city was taken over by the British in the 17th century, it became an international trade center and several buildings including the Patna Museum were constructed in the Indo-Saracenic style of architecture			English	Factoid
279	Which Sikh Guru was born in Patna in 1660?	1660 में पटना में किस सिख गुरु का जन्म हुआ था?	Tourism	Guru Gobind Singh	The tenth Sikh Guru, Guru Gobind Singh was born in Patna in 1660 and the Har Mandir Takht was built at the place of his birth.			English	Factoid
738	When was Warangal Fort constructed?	वारंगल के किले का निर्माण कब हुआ था?	Tourism	13th century	Constructed in the 13th century during the reign of King Ganapati Deva, the fort is most famous for its intricately carved arches and pillars and four large stone gateways.			English	Factoid
1454	In which year British founded Kufri?	किस साल ब्रिटिश ने कुफरी की स्थापना की थी?	Tourism	1819	Founded in 1819 by the British, the popularity of the hill station as a tourist spot grew only in the last few decades.			English	Factoid
1849	Where is Mahabaleshwar located?	महाबलेश्वर कहां स्थित है?	Tourism	Maharashtra	Located in lush green mountain ranges of the Western Ghats, Mahabaleshwar is a popular summer retreat in Maharashtra	महाराष्‍ट्र	महाराष्‍ट्र के सतारा जिले में महाबलेश्वर एक प्रसिद्ध हिल स्‍टेशन है।	Both	Factoid
1780	What is the best time to visit Amritsar?	अमृतसर की यात्रा का सबसे अच्छा समय क्या है?	Tourism			अक्टूबर से मार्च	वैसे तो आप पूरे साल में कभी भी अमृतसर घूमने जा सकते हैं, पर अक्टूबर की शुरुआत से लेकर मार्च अंत तक यह शहर घूमना सबसे अच्छा रहता है।	Hindi	Factoid
524	What is the best time to visit Kanyakumari?	कन्याकुमारी का सबसे अच्छा समय क्या है?	Tourism			अक्टूबर से फरवरी	इस शहर में आने का सबसे बढ़िया समय अक्टूबर से फरवरी के बीच का होता है और इस दौरान मौसम बहुत सुहावना होता है।	Hindi	Factoid
525	Which is the nearest airport to Kanyakumari?	कन्याकुमारी के निकटतम हवाई अड्डा कौन सा है?	Tourism			तिरूवनन्तपुरम हवाईअड्डा	तिरूवनन्तपुरम हवाईअड्डा शहर के सबसे नदजीक है।	Hindi	Factoid
1408	What is the distance between Kovalam and Thiruvananthapuram?	कोवलम और तिरुवनंतपुरम के बीच की दूरी क्या है?	Tourism			१६ किलोमीटर	यह शहर शक्तिशाली अरब सागर का सामना करता हुआ यहाँ स्थित है। यह समुद्र तट(बीच) तिरुवनंतपुरम के मुख्य शहर से ज्यादा दूर नहीं है। शहर के केंद्र से आपको इस सुरम्य और मनोहारी समुद्र तट(बीच) तक पहुँचने के लिए १६ किलोमीटर की दूरी तय करनी पड़ती है।	Hindi	Factoid
520	Whose 133 ft statue is the landmark of Kanyakumari?	किसकी 133 फीट मूर्ति कन्याकुमारी का स्थल है?	Tourism	Thiruvalluvar	Just off the mainland, and perhaps the most recognizable landmark of Kanyakumari is the Thiruvalluvar statue with the pedestal the statue measures an exact 133 ft to represent the 133 chapters of Tirukkural, the most important work in Tamil of literature.			English	Factoid
521	What does 133 ft statue of Thiruvalluvar represent?	तिरुवल्लुवर की 133 फीट की मूर्ति क्या दर्शाती है?	Tourism	Just off the mainland, and perhaps the most recognizable landmark of Kanyakumari is the Thiruvalluvar statue with the pedestal the statue measures an exact 133 ft to represent the 133 chapters of Tirukkural, the most important work in Tamil of literature.	Just off the mainland, and perhaps the most recognizable landmark of Kanyakumari is the Thiruvalluvar statue with the pedestal the statue measures an exact 133 ft to represent the 133 chapters of Tirukkural, the most important work in Tamil of literature.			English	Descriptive
1450	How far is Kufri from Shimla?	शिमला से कुफरी कितनी दूर है?	Tourism	20 km	Situated near the Himalayan range, Kufri is a picturesque hill station situated 20 km from Shimla in Himachal Pradesh.	13 किमी	कुफरी, 2743 मीटर की ऊंचाई पर स्थित, शिमला से लगभग 13 किमी की दूरी पर एक छोटा सा शहर है।	Both	Factoid
